광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2026,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2027,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2028,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2029,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2030,0,300,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,전기자전거 구입 보조금 지원,2034,0,1200,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2025,28,670,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2026,32,839,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2027,37,1005,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2028,42,1174,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2029,42,1340,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2030,92,1340,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 수소자동차 보급 확대,2034,92,5360,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2025,194,2980,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2026,199,3058,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2027,204,3137,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2028,223,3215,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2029,233,3293,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2030,291,3293,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,수송,친환경 전기자동차 보급 확대,2034,291,13172,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2025,31,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2026,31,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2027,31,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2028,12,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2029,12,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2030,12,28,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 건물지원사업(태양광),2034,25,112,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2025,926,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2026,926,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2027,926,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2028,555,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2029,555,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2030,555,1700,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 융복합지원사업(태양광),2034,926,6800,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2025,167,135,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2026,167,135,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2027,167,135,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2028,56,135,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2029,56,135,,,,,,,,,,,,,,,,
충북,괴산군,충북 괴산군,전환,신재생에너지 주택지원사업(태양광),2030,56,135,,,,,,,,,,,,,,,,
