광역,지역명,광역_지역명,구분,사업명,연도,온실가스 감축량(톤),예산(백만원),,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2025,7,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2026,7,900,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2027,12,1500,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2028,12,1500,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2029,16,2100,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2030,16,2100,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,주택 BRP 융자지원,2034,65,8400,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2027,720,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2028,720,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2029,1440,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2030,1440,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,중수도 시설 설치,2034,2880,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2025,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2026,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2027,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2028,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2029,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2030,1,1,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,창호 간편 시공 지원,2034,3,6,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2025,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2026,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2027,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2028,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2029,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2030,268,601,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,친환경콘덴싱보일러 교체,2034,1072,2403,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2025,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2026,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2027,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2028,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2029,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2030,2,18,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,희망의 집수리 지원,2034,8,72,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2028,935,840,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2029,935,840,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2030,935,840,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,건물,히트펌프 도입,2034,3738,3360,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2025,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2026,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2027,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2028,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2029,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2030,0,21,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,상자텃밭 보급,2034,0,84,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2025,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2026,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2027,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2028,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2029,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2030,0,0,,,,,,,,,,,,,,,,,,,,
서울,강남구,서울 강남구,농축산,집단급식소 친환경 식단 확대,2034,0,0,,,,,,,,,,,,,,,,,,,,
